iteracion,T,energia
800000,4.919998,97696.000000
810000,4.919998,97480.000000
820000,4.919998,97456.000000
830000,4.919998,97516.000000
840000,4.919998,97316.000000
850000,4.919998,97356.000000
860000,4.919998,97296.000000
870000,4.919998,97344.000000
880000,4.919998,97304.000000
890000,4.919998,97124.000000
900000,4.919998,97256.000000
910000,4.919998,97316.000000
920000,4.919998,97184.000000
930000,4.919998,97228.000000
940000,4.919998,97036.000000
950000,4.919998,97140.000000
960000,4.919998,97088.000000
970000,4.919998,97260.000000
980000,4.919998,97060.000000
990000,4.919998,97044.000000
0,4.909998,97036.000000
10000,4.909998,97156.000000
20000,4.909998,97116.000000
30000,4.909998,97060.000000
40000,4.909998,97104.000000
50000,4.909998,96836.000000
60000,4.909998,97020.000000
70000,4.909998,97056.000000
80000,4.909998,96932.000000
90000,4.909998,96900.000000
100000,4.909998,96988.000000
110000,4.909998,96824.000000
120000,4.909998,96836.000000
130000,4.909998,96860.000000
140000,4.909998,96548.000000
150000,4.909998,96868.000000
160000,4.909998,96680.000000
170000,4.909998,96664.000000
180000,4.909998,96696.000000
190000,4.909998,96916.000000
200000,4.909998,96464.000000
210000,4.909998,96580.000000
220000,4.909998,96600.000000
230000,4.909998,96696.000000
240000,4.909998,96432.000000
250000,4.909998,96576.000000
260000,4.909998,96688.000000
270000,4.909998,96588.000000
280000,4.909998,96296.000000
290000,4.909998,96644.000000
300000,4.909998,96548.000000
310000,4.909998,96492.000000
320000,4.909998,96476.000000
330000,4.909998,96312.000000
340000,4.909998,96136.000000
350000,4.909998,96428.000000
360000,4.909998,96312.000000
370000,4.909998,96308.000000
380000,4.909998,96292.000000
390000,4.909998,96212.000000
400000,4.909998,96408.000000
410000,4.909998,96188.000000
420000,4.909998,96296.000000
430000,4.909998,96324.000000
440000,4.909998,96376.000000
450000,4.909998,96040.000000
460000,4.909998,96256.000000
470000,4.909998,96140.000000
480000,4.909998,96080.000000
490000,4.909998,96064.000000
500000,4.909998,96020.000000
510000,4.909998,96184.000000
520000,4.909998,95952.000000
530000,4.909998,95992.000000
540000,4.909998,95928.000000
550000,4.909998,95868.000000
560000,4.909998,95828.000000
570000,4.909998,95744.000000
580000,4.909998,95776.000000
590000,4.909998,95684.000000
600000,4.909998,96020.000000
610000,4.909998,95848.000000
620000,4.909998,95672.000000
630000,4.909998,95556.000000
640000,4.909998,95656.000000
650000,4.909998,95792.000000
660000,4.909998,95524.000000
670000,4.909998,95532.000000
680000,4.909998,95640.000000
690000,4.909998,95608.000000
700000,4.909998,95516.000000
710000,4.909998,95604.000000
720000,4.909998,95536.000000
730000,4.909998,95632.000000
740000,4.909998,95356.000000
750000,4.909998,95612.000000
760000,4.909998,95548.000000
770000,4.909998,95508.000000
780000,4.909998,95496.000000
790000,4.909998,95432.000000
800000,4.909998,95524.000000
810000,4.909998,95532.000000
820000,4.909998,95508.000000
830000,4.909998,95308.000000
840000,4.909998,95340.000000
850000,4.909998,95260.000000
860000,4.909998,95256.000000
870000,4.909998,95260.000000
880000,4.909998,95316.000000
890000,4.909998,95176.000000
900000,4.909998,95236.000000
910000,4.909998,95024.000000
920000,4.909998,95104.000000
930000,4.909998,95236.000000
940000,4.909998,95188.000000
950000,4.909998,94880.000000
960000,4.909998,94876.000000
970000,4.909998,95136.000000
