iteracion,T,magnetizacion
170000,4.909998,0.009766
180000,4.909998,0.003418
190000,4.909998,-0.014160
200000,4.909998,-0.053711
210000,4.909998,0.008789
220000,4.909998,0.025391
230000,4.909998,0.011719
240000,4.909998,0.031738
250000,4.909998,-0.020508
260000,4.909998,0.010254
270000,4.909998,0.012695
280000,4.909998,0.023926
290000,4.909998,0.003906
300000,4.909998,0.033691
310000,4.909998,0.020996
320000,4.909998,0.005859
330000,4.909998,0.021973
340000,4.909998,0.022949
350000,4.909998,0.012207
360000,4.909998,-0.002930
370000,4.909998,0.027832
380000,4.909998,-0.009277
390000,4.909998,-0.004395
400000,4.909998,-0.008301
410000,4.909998,-0.031738
420000,4.909998,-0.012695
430000,4.909998,-0.015137
440000,4.909998,-0.006836
450000,4.909998,-0.040527
460000,4.909998,-0.033203
470000,4.909998,-0.003906
480000,4.909998,0.007324
490000,4.909998,0.050293
500000,4.909998,0.030273
510000,4.909998,0.064453
520000,4.909998,0.046387
530000,4.909998,0.029297
540000,4.909998,0.034668
550000,4.909998,0.022461
560000,4.909998,0.004883
570000,4.909998,-0.008301
580000,4.909998,0.053223
590000,4.909998,0.011230
600000,4.909998,0.002441
610000,4.909998,0.004883
620000,4.909998,0.040527
630000,4.909998,-0.011719
640000,4.909998,0.032227
650000,4.909998,0.000488
660000,4.909998,-0.011230
670000,4.909998,-0.031250
680000,4.909998,-0.017578
690000,4.909998,0.022949
700000,4.909998,0.008301
710000,4.909998,0.029297
720000,4.909998,0.025879
730000,4.909998,0.000488
740000,4.909998,-0.029297
750000,4.909998,0.003418
760000,4.909998,0.034668
770000,4.909998,0.023926
780000,4.909998,0.048340
790000,4.909998,0.017090
800000,4.909998,0.002441
810000,4.909998,-0.008301
820000,4.909998,0.024902
830000,4.909998,-0.010742
840000,4.909998,-0.020996
850000,4.909998,-0.033691
860000,4.909998,0.000488
870000,4.909998,0.024902
880000,4.909998,-0.011719
890000,4.909998,-0.018066
900000,4.909998,-0.001953
910000,4.909998,0.013672
920000,4.909998,0.021484
930000,4.909998,-0.000977
940000,4.909998,0.000488
950000,4.909998,0.010742
960000,4.909998,0.041992
970000,4.909998,0.013672
980000,4.909998,0.033203
990000,4.909998,0.000488
0,4.899998,0.015137
10000,4.899998,0.020508
20000,4.899998,0.039062
30000,4.899998,-0.024902
40000,4.899998,-0.028809
50000,4.899998,0.038086
60000,4.899998,0.009766
70000,4.899998,0.013184
80000,4.899998,0.003906
90000,4.899998,0.022461
100000,4.899998,0.021484
110000,4.899998,0.006836
120000,4.899998,0.028809
130000,4.899998,-0.006836
140000,4.899998,-0.018555
150000,4.899998,0.041016
160000,4.899998,0.021973
170000,4.899998,0.012207
180000,4.899998,0.039551
190000,4.899998,0.016602
200000,4.899998,-0.006836
210000,4.899998,0.033691
220000,4.899998,0.014160
230000,4.899998,0.025391
240000,4.899998,0.061035
250000,4.899998,-0.010254
260000,4.899998,-0.051270
270000,4.899998,0.014160
280000,4.899998,0.041016
290000,4.899998,-0.017578
300000,4.899998,0.028320
310000,4.899998,0.019531
320000,4.899998,0.024902
330000,4.899998,0.000488
340000,4.899998,-0.018555
350000,4.899998,-0.030273
360000,4.899998,0.053711
370000,4.899998,-0.003418
380000,4.899998,0.008301
390000,4.899998,0.028320
400000,4.899998,-0.033691
410000,4.899998,-0.006348
420000,4.899998,-0.025879
430000,4.899998,0.017578
